,smape,mae
30,12.449173288268135,1.6448828025477706
60,10.410934038869113,1.4127496705590938
120,7.69987776059069,1.1023312513107908
240,7.883141017188168,1.07233735626175
360,8.079263076632401,1.1948530028308564
480,7.967738639866748,1.1772853293838192
