,smape,mae
30,28.752663928707683,4.033828025477707
60,28.656051691358446,4.21057247487615
120,27.766354093737057,4.031037161712668
240,27.55799471483465,3.8502973156404807
360,27.166989104667916,3.807233621372965
480,27.526375314072272,3.862169830460623
