,smape,mae
30,15.843320417331519,2.262368365180467
60,15.086385773421599,2.138595895258316
120,15.047853158170119,2.146058032554848
240,15.666397046529243,2.22184076433121
360,15.394637110968173,2.1537084217975937
480,15.573088169064562,2.176268931351734
