,smape,mae
30,13.12606917322082,1.8045774946921445
60,12.778724816123821,1.7499263977353152
120,12.615940785896754,1.777007077140835
240,11.495878483377636,1.6188156404812457
360,11.040804754874722,1.5895031847133758
480,10.925311460482815,1.5803404104741685
