time_interval,smape,mae
30,33.46169766634214,5.452993120192592
60,16.59029399343394,2.4485861075684365
120,13.579131590846593,1.8093208539116608
240,11.084760552501688,1.4580635677297495
360,11.557562908506673,1.5195416964502402
480,11.040253119755715,1.4027184546605074
